filename,originator,date,summary,category,suggested_filename
0701_(DocTitle).pdf,SANRA,Unknown,Weight certificate and invoice,home-reviewcategory,REVIEWDATET105159--sanra-weight-certificate-and-invoice__home-reviewcategory
07230517_(DocTitle).pdf,Chase,2021-06-14,Credit card statement,banking-creditcard-home,20210614T105159--chase-credit-card-statement__banking-creditcard-home
11250101_^SDGE.pdf,San Diego Gas & Electric,2024-01-17,Electricity and gas bill,home-reviewcategory,20240117T105159--san-diego-gas-electric-electricity-and-gas-bill__home-reviewcategory
19700930_BASS ئ MEDICAL GROUP ا;.pdf,Medical Group,5/5/2023,Consent for medical procedure and post-op instructions,medical,20230505T105159--medical-group-consent-for-medical-procedure-and-post-op-instructions__medical
19700930_INFORMED CONSENT то OPERATION AND OTHER MEDICAL SERVICE.pdf,Sequoia,2022-08-31,Medical Informed Consent,medical,20220831T105159--sequoia-medical-informed-consent__medical
19700930_ills نwedi^Goup.pdf,"Tri-Valley Orthopedic Specialists, Inc.",2024-01-23,Medical bill with insurance and payment details,insurance-medical,20240123T105159--tri-valley-orthopedic-specialists-inc-medical-bill-with-insurance-and-payment-details__insurance-medical
19700930_٧EN٠US REFLUX DUPLEX.pdf,Dr. Nagesettv,2023-03-31,Medical report: Venous reflux and thrombus,medical,20230331T105159--dr-nagesettv-medical-report-venous-reflux-and-thrombus__medical
"20160601_ا,اااا٠اااااا.pdf",LEISURE SPORTS,Unknown,401(K) plan statement,reviewcategory,REVIEWDATET105159--leisure-sports-401k-plan-statement__reviewcategory
20180619_Vanguard.pdf,Vanguard,2022-12-19,Vanguard 529 College Savings Plan confirmation,education,20221219T105159--vanguard-vanguard-529-college-savings-plan-confirmation__education
20181231_ااا٠اااا٠ا٠اااااا٠٠٠٠٠اا٠ا٠٠اااا٠ااااااا٠اااااااااااااا.pdf,"LEISURESPORTS, INC.",2023-01-01,Retirement plan statement,home-retirement-sandiego,20230101T105159--leisuresports-inc-retirement-plan-statement__home-retirement-sandiego
20210528_STATEMENT OF SERV.CES RENDERED.pdf,"Brian R. Adams, D.D.S.",05/28/2021,Dental statement,medical-mikhaila,20210528T105159--brian-r-adams-dds-dental-statement__medical-mikhaila
20220224_OFFICE RECEIPT.pdf,Dr. Tsai,2022-02-24,Medical payment receipt,medical,20220224T105159--dr-tsai-medical-payment-receipt__medical
"20220611_c& LMusic 2395 ВMonument Blvd Conco٢d, California 94520.pdf",c& L Music,8/11/2022,Lease extension notice,danville-home,20220811T105159--c-l-music-lease-extension-notice__danville-home
20220705_SíteDne.pdf,SiteOne,07/05/2022,Chemical Emergency Response Sales Invoice,reviewcategory,20220705T105159--siteone-chemical-emergency-response-sales-invoice__reviewcategory
20220714_SiteOne_001.pdf,SiteOne Landscape Supply,07/14/2022,Landscape supply order,rental-sandiego,20220714T105159--siteone-landscape-supply-landscape-supply-order__rental-sandiego
20220714_SiteOne_002.pdf,SiteOne,2022-07-14,Order Summary for Chemical Emergent Response,property-reviewcategory,20220714T105159--siteone-order-summary-for-chemical-emergent-response__property-reviewcategory
20220831_My signature below constitutes my acknowledgement that.pdf,"Schlegel, Nikglai",2022-08-31,Informed Consent to Surgery and Medical Services,medical,20220831T105159--schlegel-nikglai-informed-consent-to-surgery-and-medical-services__medical
20220909_2ND.pdf,CONTRA COSTA COUNTY,2022-09-09,Secured Property Tax Bill,danville-home,20220909T105159--contra-costa-county-secured-property-tax-bill__danville-home
20220927_STATEMENT.pdf,DONALD SCHMITT,2022-09-27,Medical bill statement,home-insurance-medical,20220927T105159--donald-schmitt-medical-bill-statement__home-insurance-medical
20221003_SiteOne_001.pdf,SiteOne,2022-10-03,Landscape supply invoice,reviewcategory,20221003T105159--siteone-landscape-supply-invoice__reviewcategory
20221028_STATEMENT.pdf,Donald Schmitt,2022-01-29,Medical billing statement,danville-home-insurance,20220129T105159--donald-schmitt-medical-billing-statement__danville-home-insurance
"20221028_٠ا,اا٠ا«ا,,,٠٠,ا,٠اااا٠٠اااا٠ا٠ا!ا٠اااااااا٠٠,ااا٠ا٠اا٠.pdf",GOLDEN STATE ORTHOPEDICS & SPINE,12/01/2022,Medical bill from Golden State Orthopedics & Spine,creditcard-home-medical,20221201T105159--golden-state-orthopedics-spine-medical-bill-from-golden-state-orthopedics-spine__creditcard-home-medical
