filename,originator,date,summary,category,suggested_filename
0701_(DocTitle).pdf,"SANRAMON,CALIFORNIA94583",Unknown,Unknown,reviewcategory,REVIEWDATET105159--sanramoncalifornia94583-unknown__reviewcategory
07230517_(DocTitle).pdf,Chase,06/14/23,Credit card statement with rewards summary and payment due date,banking-creditcard-financials,REVIEWDATET105159--chase-credit-card-statement-with-rewards-summary-and-payment-due-date__banking-creditcard-financials
11250101_^SDGE.pdf,SAN DIEGO GAS & ELECTRIC,"Dec 29, 2023 - Jan 17, 2024",Electricity and Gas Billing Statement,rental-sandiego,REVIEWDATET105159--san-diego-gas-electric-electricity-and-gas-billing-statement__rental-sandiego
19700930_BASS ئ MEDICAL GROUP ا;.pdf,MED!CAL GROUP,5/5/2023,Consent for RGSV Ablation procedure,medical-reviewcategory,20230505T105159--medcal-group-consent-for-rgsv-ablation-procedure__medical-reviewcategory
19700930_INFORMED CONSENT то OPERATION AND OTHER MEDICAL SERVICE.pdf,Sequoia Surgic Pavilion,8/31/2022,Informed consent for operation and medical services,mikhaila-reviewcategory,20220831T105159--sequoia-surgic-pavilion-informed-consent-for-operation-and-medical-services__mikhaila-reviewcategory
19700930_ills نwedi^Goup.pdf,BASS MEDICAL GROUP,2024-01-23,Medical billing statement for Nikolai Schlegel,education-health-insurance,20240123T105159--bass-medical-group-medical-billing-statement-for-nikolai-schlegel__education-health-insurance
19700930_٧EN٠US REFLUX DUPLEX.pdf,"BASS, MEDICAL GROUP",2023-03-31,Vascular exam report for Nikolai Schlegel,lucy-medical,20230331T105159--bass-medical-group-vascular-exam-report-for-nikolai-schlegel__lucy-medical
"20160601_ا,اااا٠اااااا.pdf","LEISURE SPORTS, ™c. LEISURE SPORTS, INC. 401(K) PLAN","October 1,222ه to December 31,222ه",Retirement account statement and investment activity report,education-home-stephanie,REVIEWDATET105159--leisure-sports-c-leisure-sports-inc-401k-plan-retirement-account-statement-and-investment-activity-report__education-home-stephanie
20180619_Vanguard.pdf,Vanguard,"December 9, 2922",529 College Savings Plan confirmation,creditcard-education-mikhaila,29221209T105159--vanguard-529-college-savings-plan-confirmation__creditcard-education-mikhaila
20181231_ااا٠اااا٠ا٠اااااا٠٠٠٠٠اا٠ا٠٠اااا٠ااااااا٠اااااااااااااا.pdf,"LEISURESPORTS, INC. LEISURE SP٥RTS, INC. 401(K) PLAN","January 1, 2023 to March 31, 2023",Retirement account statement for Stephanie Schlegel,reviewcategory,REVIEWDATET105159--leisuresports-inc-leisure-sp٥rts-inc-401k-plan-retirement-account-statement-for-stephanie-schlegel__reviewcategory
20210528_STATEMENT OF SERV.CES RENDERED.pdf,"Brian R. Adams, D.D.S.",2021-05-28,Dental services statement for Nikolai,danville-home-reviewcategory,20210528T105159--brian-r-adams-dds-dental-services-statement-for-nikolai__danville-home-reviewcategory
20220224_OFFICE RECEIPT.pdf,"CLARK S. TSAI, MD",02/24/2022,Patient receipt and payment invoice,mikhaila-reviewcategory,20220224T105159--clark-s-tsai-md-patient-receipt-and-payment-invoice__mikhaila-reviewcategory
