filename,originator,date,summary,category,suggested_filename
20250907095221.pdf,Comerica Bank,"July 23, 2025 - August 21, 2025",Bank statement showing account activity and interest earned,sandiego-banking-creditcard-financials,REVIEWDATET095221--comerica-bank-bank-statement-showing-account-activity-and-interest-earned__sandiego-banking-creditcard-financials
20250907095231.pdf,E*TRADE from Morgan Stanley,2025-08-23,Address change confirmation notification,sandiego-home,20250823T095231--etrade-from-morgan-stanley-address-change-confirmation-notification__sandiego-home
20250907095242.pdf,Mechanics Bank,2025-08-26,Account address change request notification,home-sandiego,20250826T095242--mechanics-bank-account-address-change-request-notification__home-sandiego
20250921120516.pdf,"Jordan Z. Marks, Assessor/Recorder/County Clerk","September 12, 2025",Reappraisal Exclusion for Seniors application,home-sandiego,20250912T120516--jordan-z-marks-assessorrecordercounty-clerk-reappraisal-exclusion-for-seniors-application__home-sandiego
20250921120556.pdf,US POSTAGE,9/8/2025,Voter registration notice and form,home-sandiego,20250908T120556--us-postage-voter-registration-notice-and-form__home-sandiego
20250921120628.pdf,San Diego County Registrar of Voters,9/8/2025,Voter registration update and confirmation,home-sandiego,20250908T120628--san-diego-county-registrar-of-voters-voter-registration-update-and-confirmation__home-sandiego
20250921120755.pdf,COMPARION INSURANCE AGENCY LLC,10/08/2024,Personal Umbrella Policy Amendment,insurance-home-sandiego,20241008T120755--comparion-insurance-agency-llc-personal-umbrella-policy-amendment__insurance-home-sandiego
20250921120849.pdf,DECRON,09/05/2025,Move out statement for Stephanie Schiege's lease,home-sandiego,20250905T120849--decron-move-out-statement-for-stephanie-schieges-lease__home-sandiego
20250921120906.pdf,First American Title Company,2025-09-11,"Final Settlement statement for property 3205 Brookside Lane, Encinitas, CA",home-sandiego,20250911T120906--first-american-title-company-final-settlement-statement-for-property-3205-brookside-lane-encinitas-ca__home-sandiego
20250921121020.pdf,"STILLWATER INSURANCE SERVICES, INC.",10/07/2025,Renewal notice with payment deadline and policy expiration date,home-creditcard,20251007T121020--stillwater-insurance-services-inc-renewal-notice-with-payment-deadline-and-policy-expiration-date__home-creditcard
20250921121114.pdf,"PLATINUM OWNERS ASSOCIATION, INC",2025-09-05,Payment confirmation to homeowners association,home-sandiego-reviewcategory,20250905T121114--platinum-owners-association-inc-payment-confirmation-to-homeowners-association__home-sandiego-reviewcategory
20250921121142.pdf,JPMorgan Chase Bank,09/16/2625,Chase account opening confirmation and setup instructions,sandiego-home-creditcard,26250916T121142--jpmorgan-chase-bank-chase-account-opening-confirmation-and-setup-instructions__sandiego-home-creditcard
20250921121228.pdf,JPMorgan Chase & Co.,2025-09-13,Direct Deposit Set-up Form for employee account,sandiego-banking-creditcard-financials-home-reviewcategory,20250913T121228--jpmorgan-chase-co-direct-deposit-set-up-form-for-employee-account__sandiego-banking-creditcard-financials-home-reviewcategory
20250921121249.pdf,"SUPERIOR COURT OF CALIFORNIA, COUNTY OF SAN DIEGO","October 15, 2025",Jury summons and instructions for jury service,sandiego-reviewcategory,20251015T121249--superior-court-of-california-county-of-san-diego-jury-summons-and-instructions-for-jury-service__sandiego-reviewcategory
20250921121351.pdf,Appeals Cooidinatoi,2025-08-28,Medical device specialty correspondence,sandiego-reviewcategory,20250828T121351--appeals-cooidinatoi-medical-device-specialty-correspondence__sandiego-reviewcategory
20250921121439.pdf,Scripps Memorial Hospital Encinitas Emergency Department,2025-09-03,After visit summary for finger contusion treatment,medical-sandiego-reviewcategory,20250903T121439--scripps-memorial-hospital-encinitas-emergency-department-after-visit-summary-for-finger-contusion-treatment__medical-sandiego-reviewcategory
20250921121543.pdf,"Platinum Owners Association, Inc.",2025-09-26,Limited Proxy for Annual Meeting,sandiego-,20250926T121543--platinum-owners-association-inc-limited-proxy-for-annual-meeting__sandiego-
20250923105317.pdf,Kamp Kanine,Unknown,Doggie Daycare Agreement,rental-education-reviewcategory,REVIEWDATET105317--kamp-kanine-doggie-daycare-agreement__rental-education-reviewcategory
20251109113826.pdf,BROOKSIDE HOMEOWNERS ASSOCIATION,2025-11-20,Annual Election Meeting for Board of Directors,home-sandiego,20251120T113826--brookside-homeowners-association-annual-election-meeting-for-board-of-directors__home-sandiego
20251109114053.pdf,School Name,Unknown,Science Safety Contract for students,education-reviewcategory,REVIEWDATET114053--school-name-science-safety-contract-for-students__education-reviewcategory
20251109114105.pdf,California School,Unknown,Student video/audio permission form,education-,REVIEWDATET114105--california-school-student-videoaudio-permission-form__education-
20251109114200.pdf,Brooks!de lane Directory,"September, 2025",Directory of residents in Brooks!de lane,sandiego-creditcard-home-reviewcategory,REVIEWDATET114200--brooksde-lane-directory-directory-of-residents-in-brooksde-lane__sandiego-creditcard-home-reviewcategory
20251109121856.pdf,STATE OF CALIFORNIA - DEPARTMENT OF REAL ESTATE,2025-11-06,Real estate complaint assignment and guidance,sandiego-home-reviewcategory,20251106T121856--state-of-california-department-of-real-estate-real-estate-complaint-assignment-and-guidance__sandiego-home-reviewcategory
20251109121915.pdf,STILLWATER INSURANCE COMPANY,SP2293 08 24,Umbrella policy update notice,insurance-insurance-utility-reviewcategory,REVIEWDATET121915--stillwater-insurance-company-umbrella-policy-update-notice__insurance-insurance-utility-reviewcategory
20251109121940.pdf,"STATE OF CALIFORNIA - BUS!NESS, CoNSUMER SERVاCESANDH٥US!NG AGENCY",2025-10-29,Acknowledgement of correspondence receipt,sandiego-home,20251029T121940--state-of-california-busness-consumer-servاcesandh٥usng-agency-acknowledgement-of-correspondence-receipt__sandiego-home
20251109121956.pdf,COMPARION INSURANCE AGENCY LLC,10/08/2025,Renewal offer for personal umbrella insurance policy,home-sandiego,20251008T121956--comparion-insurance-agency-llc-renewal-offer-for-personal-umbrella-insurance-policy__home-sandiego
20251109122018.pdf,Goldman Sachs Mortgage Company,"October 02, 2025","Notice of assignment, sale or transfer of mortgage loan ownership",mortgage-sandiego-home,20251002T122018--goldman-sachs-mortgage-company-notice-of-assignment-sale-or-transfer-of-mortgage-loan-ownership__mortgage-sandiego-home
