filename,originator,date,summary,category,suggested_filename
0701_(DocTitle).pdf,San Ramon Valley Blvd,Unknown,Weight certificate for taxable merchandise,home-sandiego,REVIEWDATET105159--san-ramon-valley-blvd-weight-certificate-for-taxable-merchandise__home-sandiego
07230517_(DocTitle).pdf,Chase,2023-06-14,Credit card statement,banking-creditcard,20230614T105159--chase-credit-card-statement__banking-creditcard
11250101_^SDGE.pdf,SDG&E,2023-12-22,Electricity and gas bill,home-reviewcategory-sandiego,20231222T105159--sdge-electricity-and-gas-bill__home-reviewcategory-sandiego
19700930_BASS ئ MEDICAL GROUP ا;.pdf,MEDICAL GROUP,5/5/2023,Medical Consent Form for Procedure,medical,20230505T105159--medical-group-medical-consent-form-for-procedure__medical
19700930_INFORMED CONSENT то OPERATION AND OTHER MEDICAL SERVICE.pdf,Sequoia,2022-08-31,Medical consent form,medical,20220831T105159--sequoia-medical-consent-form__medical
19700930_ills نwedi^Goup.pdf,"Tri-Valley Orthopedic Specialists, Inc.",2024-01-23,Medical billing statement,insurance-medical,20240123T105159--tri-valley-orthopedic-specialists-inc-medical-billing-statement__insurance-medical
19700930_٧EN٠US REFLUX DUPLEX.pdf,"BASS, MEDICAL GROUP",2023-03-31,Medical report: Venous reflux study,medical-mikhaila,20230331T105159--bass-medical-group-medical-report-venous-reflux-study__medical-mikhaila
"20160601_ا,اااا٠اااااا.pdf",LEISURE SPORTS,10/1/22 to 12/31/22,Retirement account statement,home-sandiego,REVIEWDATET105159--leisure-sports-retirement-account-statement__home-sandiego
20180619_Vanguard.pdf,Vanguard,2022-12-19,529 College Savings Plan confirmation,education-mikhaila,20221219T105159--vanguard-529-college-savings-plan-confirmation__education-mikhaila
20181231_ااا٠اااا٠ا٠اااااا٠٠٠٠٠اا٠ا٠٠اااا٠ااااااا٠اااااااااااااا.pdf,"LEISURESPORTS, INC.",2023-01-01,Retirement plan statement,Stephanie-retirement,20230101T105159--leisuresports-inc-retirement-plan-statement__Stephanie-retirement
20210528_STATEMENT OF SERV.CES RENDERED.pdf,"Brian R. Adams, D.D.S.",05/28/2021,Dental statement,medical-stephanie,20210528T105159--brian-r-adams-dds-dental-statement__medical-stephanie
20220224_OFFICE RECEIPT.pdf,Dr. Tsai,2022-02-24,Medical payment receipt,creditcard-medical,20220224T105159--dr-tsai-medical-payment-receipt__creditcard-medical
"20220611_c& LMusic 2395 ВMonument Blvd Conco٢d, California 94520.pdf",c&L Music,2022-06-11,Lease extension notice,danville-home,20220611T105159--cl-music-lease-extension-notice__danville-home
20220705_SíteDne.pdf,SiteOne,07/05/2022,Chemical Emergency Response Sales Invoice,home-sandiego,20220705T105159--siteone-chemical-emergency-response-sales-invoice__home-sandiego
20220714_SiteOne_001.pdf,SiteOne,2022-07-14,Landscape Supply Order,home,20220714T105159--siteone-landscape-supply-order__home
20220714_SiteOne_002.pdf,SiteOne,07/14/2022,Order summary for landscape supply products,home-reviewcategory,20220714T105159--siteone-order-summary-for-landscape-supply-products__home-reviewcategory
20220831_My signature below constitutes my acknowledgement that.pdf,Surglc¿! Pavillon,2022-08-31,Medical Informed Consent Form,medical,20220831T105159--surglc-pavillon-medical-informed-consent-form__medical
20220909_2ND.pdf,Contra Costa County,2022-09-09,Secured property tax bill,danville-home,20220909T105159--contra-costa-county-secured-property-tax-bill__danville-home
20220927_STATEMENT.pdf,DONALD SCHMITT,2022-09-27,Medical bill statement,danville-home-insurance,20220927T105159--donald-schmitt-medical-bill-statement__danville-home-insurance
20221003_SiteOne_001.pdf,SiteOne,2022-10-03,Invoice with sales and credit information,reviewcategory,20221003T105159--siteone-invoice-with-sales-and-credit-information__reviewcategory
20221028_STATEMENT.pdf,DONALD SCHMITT,2022-01-29,Medical bill statement,danville-home-insurance,20220129T105159--donald-schmitt-medical-bill-statement__danville-home-insurance
"20221028_٠ا,اا٠ا«ا,,,٠٠,ا,٠اااا٠٠اااا٠ا٠ا!ا٠اااااااا٠٠,ااا٠ا٠اا٠.pdf",GOLDEN STATE ORTHOPEDICS & SPINE,12/01/2022,Medical bill,danville-home-medical,20221201T105159--golden-state-orthopedics-spine-medical-bill__danville-home-medical
20221110_Save time and postage.. PAY.NUNE.pdf,Hyatt Vacation Club,2022-11-10,Annual Assessment Statement,home-rental-sandiego,20221110T105159--hyatt-vacation-club-annual-assessment-statement__home-rental-sandiego
20221128_ااا1اا'أاا'اا1.pdf,GOLDEN STATE ORTHOPEDICS & SPINE,2023-01-02,Medical bill statement,home-insurance-medical,20230102T105159--golden-state-orthopedics-spine-medical-bill-statement__home-insurance-medical
20221130_STATEMENT.pdf,Round Hill Country Club,2022-11-30,Credit card statement,banking-home-sandiego,20221130T105159--round-hill-country-club-credit-card-statement__banking-home-sandiego
"20221214_12142022 CLARK S. TSAI, M.D. 2225 Port Ch!cago Hwy Conc.pdf","CLARK S. TSAI, M.D.",2022-12-14,Medical bill statement,danville-home-insurance,20221214T105159--clark-s-tsai-md-medical-bill-statement__danville-home-insurance
20221218_001.pdf,GARDENCENTER&TOPSOIL,Unknown,Gardening supply bill,reviewcategory,REVIEWDATET105157--gardencentertopsoil-gardening-supply-bill__reviewcategory
20221218_002.pdf,Ewing Irrigation,2022-11-29,Invoice and payment receipt,rental-sandiego,20221129T105159--ewing-irrigation-invoice-and-payment-receipt__rental-sandiego
20221218_003.pdf,Ewing Irrigation,2022-09-29,Invoice for Ewing Irrigation Products,rental-sandiego,20220929T105159--ewing-irrigation-invoice-for-ewing-irrigation-products__rental-sandiego
20221218_004.pdf,East Bluff No.4 Community Association,2023-01-06,Official ballot for annual meeting and election of directors,rental-reviewcategory,20230106T105159--east-bluff-no4-community-association-official-ballot-for-annual-meeting-and-election-of-directors__rental-reviewcategory
20221218_2ẼÍ.pdf,Chase,Unknown,Credit card statement,reviewcategory,REVIEWDATET105159--chase-credit-card-statement__reviewcategory
20221218_30.40.pdf,Palo Alto Medical Foundation,10/31/22,Medical bill payment,medical,REVIEWDATET105159--palo-alto-medical-foundation-medical-bill-payment__medical
20221218_Account Summary.pdf,American Express,2022-11-28,Personal Loan Statement,banking-creditcard-home,20221128T105159--american-express-personal-loan-statement__banking-creditcard-home
"20221218_C.NTRA COSTA TOPSOIL, INC. 5030 !mhoff Dr ٠Ma٢t!nez,CA.pdf","Contra Costa Topsoil, Inc.",Unknown,Weighmaster certificate,reviewcategory,REVIEWDATET105159--contra-costa-topsoil-inc-weighmaster-certificate__reviewcategory
20221218_CoĩĩienQ^BaẺ..pdf,Comerica,2022-11-21,Home Equity Line of Credit approval letter,danville-home,20221121T105159--comerica-home-equity-line-of-credit-approval-letter__danville-home
20221218_EAST BLUFF N0.4 COMM^ITY ASSOCIATION.pdf,East Bluff N0.4 Community Association,2022-12-02,Annual Meeting of Members and Election of Directors,rental-sandiego,20221202T105159--east-bluff-n04-community-association-annual-meeting-of-members-and-election-of-directors__rental-sandiego
20221218_HILLER AVIATION MUSEUM.pdf,Hiller Aviation Museum,2022-12-03,Membership renewal notice,home-membership,20221203T105159--hiller-aviation-museum-membership-renewal-notice__home-membership
20221218_HILLER AVIATION MUSEUM_001.pdf,Hiller Aviation Museum,2021-12-14,Aviation museum annual campaign,home-sandiego,20211214T105159--hiller-aviation-museum-aviation-museum-annual-campaign__home-sandiego
20221218_Lender's reqiiìreinents..pdf,Lender,2010-06-01,Mortgage approval letter,insurance,20100601T105159--lender-mortgage-approval-letter__insurance
20221218_MetLlfe.pdf,Metlife,"December 01, 2022",Dental benefits explanation,insurance-medical,20221201T105159--metlife-dental-benefits-explanation__insurance-medical
20221218_S1ص at.pdf,Sloat Topsoil,Unknown,Weighmaster Certificate,reviewcategory,REVIEWDATET105159--sloat-topsoil-weighmaster-certificate__reviewcategory
20221218_STANDARDS-BASED SKILLS ASSESSMENT.pdf,St. Isidore School,2021-2022,Student progress report,education,REVIEWDATET105159--st-isidore-school-student-progress-report__education
20221218_VỂSà.pdf,"Detailed Pest Control, LLC",2022-12-09,Pest control invoice and agreement,home-sandiego,20221209T105159--detailed-pest-control-llc-pest-control-invoice-and-agreement__home-sandiego
20221218_لمسئشج -.pdf,Adams,Unknown,Credit card statement,reviewcategory,REVIEWDATET105159--adams-credit-card-statement__reviewcategory
20231204.pdf,Renaissance,2023-11-14,Student test scores report,education-mikhaila,20231114T110802--renaissance-student-test-scores-report__education-mikhaila
20231221_ParkHotel.pdf,ParkHotel,30.12.2023,Hotel bill,danville-home,REVIEWDATET110801--parkhotel-hotel-bill__danville-home
20231227_PIUNUM.pdf,Platinum Owners Association,2023-12-27,Payment reminder letter,banking-home,20231227T110802--platinum-owners-association-payment-reminder-letter__banking-home
20231231_STATEMENT.pdf,Round Hill Countnj Club,2023-12-31,Country club statement,home-reviewcategory,20231231T110802--round-hill-countnj-club-country-club-statement__home-reviewcategory
20240101_SEABREEZE.pdf,Seabreeze Management,2024-02-01,Homeowners' Association statement,home-rental-sandiego,20240201T110801--seabreeze-management-homeowners-association-statement__home-rental-sandiego
20240104_HILLER Α٧Ι٨ΤΙΟΝ MUSEUM.pdf,Hiller Aviation Museum,2023-01-10,Membership statement,education-home-reviewcategory,20230110T110802--hiller-aviation-museum-membership-statement__education-home-reviewcategory
20240109_STATEMENT ٥F SERVICES RENDERED.pdf,Blackhawk Dental Group,2024-01-09,Dental statement,danville-home-medical,20240109T110801--blackhawk-dental-group-dental-statement__danville-home-medical
20240115_PftKftDÍs٧s De؛.pdf,Paradisus Dei,"November 1,2023",Charitable donation acknowledgement,reviewcategory,REVIEWDATET110802--paradisus-dei-charitable-donation-acknowledgement__reviewcategory
20240116.pdf,Unknown,Unknown,Unknown,reviewcategory,REVIEWDATET110802--unknown-unknown__reviewcategory
20240116_001.pdf,RF,Unknown,Order/Invoice,reviewcategory,REVIEWDATET110802--rf-orderinvoice__reviewcategory
20240116_002.pdf,Cbmerl Bank,12/18/23,Credit card statement,banking-danville-home,REVIEWDATET110802--cbmerl-bank-credit-card-statement__banking-danville-home
20240116_1The address or addresses to which notices from the  As.pdf,East Bluff #4 Homeowners Association,Unknown,Homeowner association notice,home-reviewcategory,REVIEWDATET110801--east-bluff-4-homeowners-association-homeowner-association-notice__home-reviewcategory
20240116_Avalon.pdf,East Bluff,2024-01-01,Homeowners Association budget notification,associationreviewcategory-home,20240101T110801--east-bluff-homeowners-association-budget-notification__associationreviewcategory-home
20240116_Statement ef Account.pdf,Comerica,2023-11-22,Credit card statement,banking-home,20231122T110802--comerica-credit-card-statement__banking-home
20240116_٨٧a!on.pdf,East Bluff Unit No. 4 Community Association,2023-12-01,Homeowners Association annual policy statement and disclosures,home-sandiego,20231201T110802--east-bluff-unit-no-4-community-association-homeowners-association-annual-policy-statement-and-disclosures__home-sandiego
20240124_IMPORTANT ΊΆΧ RETURN DOCUMENT ENCUOSED.pdf,Comerica Bank,Unknown,Credit card statement,education-home-insurance-reviewcategory,REVIEWDATET110802--comerica-bank-credit-card-statement__education-home-insurance-reviewcategory
20240208_اه JOHN MUIR.pdf,John Muir Health,2023-12-25,Medical mammogram appointment reminder,medical,20231225T110800--john-muir-health-medical-mammogram-appointment-reminder__medical
26221129_STATEMENT.pdf,Donald Schmitt,11/29/2022,Medical statement,danville-home-insurance,20221129T110805--donald-schmitt-medical-statement__danville-home-insurance
26230328_إو JOHN MUIR.pdf,John Muir Health,04/17/2023,Medical bill,home-insurance-medical,20230417T110802--john-muir-health-medical-bill__home-insurance-medical
28231101_Save time and postage! PAY ONLINE.pdf,Nikolai & Stephanie K. Schlegel PLATINUM OA,2023-11-01,Annual Assessment Statement,home-reviewcategory,20231101T110800--nikolai-stephanie-k-schlegel-platinum-oa-annual-assessment-statement__home-reviewcategory
59490122_ا% Health.pdf,UCSF Benioff Children's Hospital Oakland,2023-06-04,Medical bill statement,insurance-medical,20230604T110800--ucsf-benioff-childrens-hospital-oakland-medical-bill-statement__insurance-medical
73300114_ا٠1ااا٠اا1.pdf,DONALD SCHMITT,10/24/2023,Credit card statement,home-insurance,20231024T110802--donald-schmitt-credit-card-statement__home-insurance
Blackhawk_Dental_June_21_2023.pdf,Blackhawk Dental Care,Unknown (but between 2015-2025 based on document dates),Dental statement and care instructions,danville-home-medical,REVIEWDATET110801--blackhawk-dental-care-dental-statement-and-care-instructions__danville-home-medical
Blackhawk_Dental_June_28_2023.pdf,Blackhawk Denta! Group,06/28/2023,Dental treatment plan and billing statement,danville-home-insurance-medical,20230628T110802--blackhawk-denta-group-dental-treatment-plan-and-billing-statement__danville-home-insurance-medical
Chase_Freedmo_Unlimited_July_14_2023.pdf,Chase,2023-07-14,Credit card statement,banking-creditcard,20230714T110801--chase-credit-card-statement__banking-creditcard
Chase_Freedom_Unlimited_August_14_2023.pdf,Chase,2023-08-14,Credit card statement with rewards and payment due dates,banking-home-sandiego,20230814T110801--chase-credit-card-statement-with-rewards-and-payment-due-dates__banking-home-sandiego
Chef_Cooking_Receipts.pdf,Unknown,Unknown,Unknown,reviewcategory,REVIEWDATET110802--unknown-unknown__reviewcategory
Comerica-HELOC-Loan-Application_and_other_documents.pdf,Comerica Bank,2022-11-18,Loan authorization and tax consent form,danville-home,20221118T110801--comerica-bank-loan-authorization-and-tax-consent-form__danville-home
Comerica_Bank_June_2023.pdf,Comerica Bank,2023-06-18,Credit card statement,banking-home,20230618T110802--comerica-bank-credit-card-statement__banking-home
Comerica_Bank_May_2023.pdf,Comerica,2023-05-20,Credit card statement,banking-danville-home,20230520T110802--comerica-credit-card-statement__banking-danville-home
Comerica_July_24_2023.pdf,Comerica,2023-06-23,Credit card statement,banking-home,20230623T110802--comerica-credit-card-statement__banking-home
Critter_Creek_Veterinary_Hospital_June_26_2023.pdf,Critter Creek,Unknown,Veterinary invoice for pet care services,lucy-medical,REVIEWDATET110802--critter-creek-veterinary-invoice-for-pet-care-services__lucy-medical
DMV_Renewal_Prius_September_2023.pdf,Department of Motor Vehicles,09/02/2023,Vehicle Registration Renewal Notice,home-sandiego,20230902T110801--department-of-motor-vehicles-vehicle-registration-renewal-notice__home-sandiego
Del_Mar_Highlands_HOA_Election.pdf,DelMar Highlands Neighborhood HOA,2023-07-25,HOA Annual Meeting and Election,home-sandiego,20230725T110802--delmar-highlands-neighborhood-hoa-hoa-annual-meeting-and-election__home-sandiego
Detailed_Pest_Control_June_15_2023.pdf,"Detailed Pest Control, LLC",06/23/,Pest control service bill,danville-home,REVIEWDATET110802--detailed-pest-control-llc-pest-control-service-bill__danville-home
East_Bluff_No4_HOA_Election_July_2023.pdf,The Inspectors of Election,2023-07-21,Community Association election announcement,reviewcategory,20230721T110802--the-inspectors-of-election-community-association-election-announcement__reviewcategory
East_Bluff_No4_HOA_Election_Part2 _July_2023.pdf,EastBluffNo. 4 Community Association,2023-10-23,Candidate nomination form for community association election,reviewcategory,20231023T110800--eastbluffno-4-community-association-candidate-nomination-form-for-community-association-election__reviewcategory
GoldenStateOrthopedics-02-01-2023.pdf,GOLDEN STATE ORTHOPEDICS & SPINE,02/01/2023,Medical bill with payment and adjustment details,insurance-medical,20230201T110802--golden-state-orthopedics-spine-medical-bill-with-payment-and-adjustment-details__insurance-medical
Hacienda_Surgery_Center_Post_Op.pdf,Hacienda Surgery Center,Unknown,Medical discharge instructions,medical,REVIEWDATET110802--hacienda-surgery-center-medical-discharge-instructions__medical
Hacienda_Surgery_Center_Post_Op_Part2.pdf,Hacienda Surgery Center,2023-07-20,COVID-19 patient education and discharge instructions,medical-reviewcategory,20230720T110802--hacienda-surgery-center-covid-19-patient-education-and-discharge-instructions__medical-reviewcategory
High_Speed_Rail_Alliance_June_06_2023.pdf,High Speed Rail Alliance,June 2023,High-speed rail advocacy and infrastructure development,danville-home,REVIEWDATET110802--high-speed-rail-alliance-high-speed-rail-advocacy-and-infrastructure-development__danville-home
IRS_Notice_July_05_2023.pdf,Internal Revenue Service,2023-07-05,IRS Tax Relief Notification,Sandiego-danville-home,20230705T110802--internal-revenue-service-irs-tax-relief-notification__Sandiego-danville-home
Jamie_July_01_2023.pdf,LElop,Unknown,Credit card statement,reviewcategory,REVIEWDATET110802--lelop-credit-card-statement__reviewcategory
Jamie_July_27_2023.pdf,PG&E,Unknown,Utility bill,reviewcategory,REVIEWDATET110802--pge-utility-bill__reviewcategory
John_Hancock_June_09_2023.pdf,John Hancock Life Insurance Company,2023-06-09,Long-term care insurance premium notice,home-insurance-sandiego,20230609T110801--john-hancock-life-insurance-company-long-term-care-insurance-premium-notice__home-insurance-sandiego
Lucy_Health_Record_Fetch-ID.pdf,Bernedoodles and Co,5/7/23,Puppy contract,"medical-sandiego-veterinary, home","REVIEWDATET110802--bernedoodles-and-co-puppy-contract__medical-sandiego-veterinary, home"
MetLife_July_05_2023.pdf,MetLife,2023-07-05,Dental benefits explanation,insurance-medical-utility,20230705T110802--metlife-dental-benefits-explanation__insurance-medical-utility
MetLife_July_21_2023.pdf,MetLife,2023-07-21,Dental benefits explanation,home-insurance-medical-sandiego,20230721T110802--metlife-dental-benefits-explanation__home-insurance-medical-sandiego
